Filter                   	Reps	Unit Work (Estimated)	Total Work (Estimated)
process1__214            	8192	14336	117440512
process1__182            	8192	14336	117440512
process1__150            	8192	14336	117440512
process1__118            	8192	14336	117440512
process1__86             	8192	14336	117440512
process1__54             	8192	14336	117440512
process1__22             	8192	14336	117440512
process1__246            	8192	14336	117440512
Fused_MyJoin_MySplit__236	64	1573317	100692288
Fused_MyJoin_MySplit__204	32	3146629	100692128
Fused_MyJoin_MySplit__172	16	6293253	100692048
Fused_MyJoin_MySplit__140	8	12586501	100692008
Fused_MyJoin_MySplit__108	4	25172997	100691988
Fused_MyJoin_MySplit__76 	2	50345989	100691978
Fused_MyJoin_MySplit__44 	1	100691973	100691973
MySplit__12              	1	88096768	88096768
MyJoin__256              	128	622720	79708160
print__260               	8388608	9	75497472
source__3                	1	41943040	41943040
